Slide_number,Olig2_density_mm2,Region,SampleID,Layer,Age_group,Age,,
287,493,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,986,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,986,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,, 
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Superficial,a_neonate,0,,
287,493,Calc,A15-76,Superficial,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,1479,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,1479,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,493,Calc,A15-76,Middle,a_neonate,0,,
287,493,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Middle,a_neonate,0,,
287,493,Calc,A15-76,Middle,a_neonate,0,,
287,493,Calc,A15-76,Middle,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,493,Calc,A15-76,Deep,a_neonate,0,,
287,986,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,493,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,986,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,493,Calc,A15-76,Deep,a_neonate,0,,
287,1479,Calc,A15-76,Deep,a_neonate,0,,
287,493,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,493,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
287,493,Calc,A15-76,Deep,a_neonate,0,,
287,986,Calc,A15-76,Deep,a_neonate,0,,
287,0,Calc,A15-76,Deep,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,493,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
317,0,Calc,A15-76,Superficial,a_neonate,0,,
