SlideNumber,Region,ID,Age,Depth_bins,R1,MBP,MAP2,DAPI,BCAS1,depth,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,0 — 10,0.5263053,1.805,36.3,10.55466667,0.083444444,10,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,10 — 20,0.5204998,0.4235,46.256,7.16375,0.007833333,20,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,20 — 30,0.5104546,1.327,35.708,16.72783333,0.008666667,30,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,30 — 40,0.4907607,1.2175,28.867,44.050875,0,40,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,40 — 50,0.4788396,0,24.367,37.9395,0.291666667,50,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,50 — 60,0.476382,0.5955,17.8595,25.16383333,0.097888889,60,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,60 — 70,0.4578085,0.6295,14.618667,35.2435,0.001,70,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,70 — 80,0.456222,0.0495,7.042,39.270125,0.002666667,80,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,80 — 90,0.4596836,0.567,8.4556667,22.31866667,0.069333333,90,,,
150 / 150/ 100 / 150 / 150,Calc,1,1.5,90 — 100,0.4596836,0,16.055667,5.723375,0.190666667,100,,,
247 / 191 / 247 / 201,Calc,1,1.5,0 — 10,0.5263053,1.0286667,18.783,15.15183333,0,10,,,
247 / 191 / 247 / 201,Calc,1,1.5,10 — 20,0.5204998,1.1675,23.986,29.36,0,20,,, 
247 / 191 / 247 / 201,Calc,1,1.5,20 — 30,0.5104546,1.1693333,23.8535,51.36016667,0,30,,,
247 / 191 / 247 / 201,Calc,1,1.5,30 — 40,0.4907607,1.2438333,22.601,42.59133333,0,40,,,
247 / 191 / 247 / 201,Calc,1,1.5,40 — 50,0.4788396,1.2146667,22.0445,33.5675,0,50,,,
247 / 191 / 247 / 201,Calc,1,1.5,50 — 60,0.476382,1.0268333,22.414,40.8595,0.001,60,,,
247 / 191 / 247 / 201,Calc,1,1.5,60 — 70,0.4578085,1.2883333,26.7415,50.052,0.001,70,,,
247 / 191 / 247 / 201,Calc,1,1.5,70 — 80,0.456222,0.639,17.1675,40.86583333,0,80,,,
247 / 191 / 247 / 201,Calc,1,1.5,80 — 90,0.4596836,0.5246667,10.538,26.8375,0,90,,,
247 / 191 / 247 / 201,Calc,1,1.5,90 — 100,0.4596836,1.8883333,18.3725,13.63183333,0,100,,,
257 / 300 / 257/ 257,Calc,1,1.5,0 — 10,0.5251166,0.14275,23.2205,6.3885,0.015,10,,,
257 / 300 / 257/ 257,Calc,1,1.5,10 — 20,0.5270979,0.01,19.8475,14.3875,0,20,,,
257 / 300 / 257/ 257,Calc,1,1.5,20 — 30,0.526401,0,20.546,31.89075,0.0055,30,,,
257 / 300 / 257/ 257,Calc,1,1.5,30 — 40,0.5169761,0,21.111,33.15575,0.011,40,,,
257 / 300 / 257/ 257,Calc,1,1.5,40 — 50,0.5087612,0,20.82,19.5345,0,50,,,
257 / 300 / 257/ 257,Calc,1,1.5,50 — 60,0.5065356,0.004,17.5755,22.6745,0,60,,,
257 / 300 / 257/ 257,Calc,1,1.5,60 — 70,0.497089,0.027,19.7115,31.4925,0,70,,,
257 / 300 / 257/ 257,Calc,1,1.5,70 — 80,0.4981448,0.0215,22.6405,21.8745,0,80,,,
257 / 300 / 257/ 257,Calc,1,1.5,80 — 90,0.4940407,0.0025,18.8025,19.2285,0,90,,,
