ImageID,MAP2_coverage,Region,Age,Age_group,Slide_number
soma-removed_MAX_A22-47_5mo_Slide101_MAP2-594_FG_high-res-1.tif,12.314,FG,0,a_0-1mo,5mo_101
soma-removed_MAX_A15-76_0mo_Slide312_MAP2-594_Calc_high-res.tif,6.763,Calc,0,a_0-1mo,0mo_312
soma-removed_MAX_A15-76_0mo_Slide312_MAP2-594_CoS_high-res.tif,3.34,CoS,0,a_0-1mo,0mo_312
soma-removed_crop_MAX_A15-76_0mo_Slide313_DAPI_NeuN-488_MAP2-594_MBP-647_FG_high-res.tif,5.336,FG,0,a_0-1mo,0mo_313
soma-removed_MAX_A15-76_0mo_Slide313_DAPI_NeuN-488_MAP2-594_MBP-647_Calc_high-res.tif,2.752,Calc,0,a_0-1mo,0mo_313
soma-removed_MAX_A15-76_0mo_Slide313_DAPI_NeuN-488_MAP2-594_MBP-647_CoS_FOV_high-res.tif,7.495,CoS,0,a_0-1mo,0mo_313
soma-removed_MAX_A15-76_0mo_Slide315_MAP2-594_Calc_high-res.czi - A15-76_0mo_Slide315_MAP2-594_Calc_high-res.tif,3.445,Calc,0,a_0-1mo,0mo_315
soma-removed_MAX_A15-76_0mo_Slide315_MAP2-594_CoS_high-res.czi - A15-76_0mo_Slide315_MAP2-594_CoS_high-res.tif,4.539,CoS,0,a_0-1mo,0mo_315
soma-removed_MAX_A15-76_0mo_Slide315_MAP2-594_FG_high-res.czi - A15-76_0mo_Slide315_MAP2-594_FG_high-re.tif,2.847,FG,0,a_0-1mo,0mo_315
soma-removed_MAX_A15-16_1mo_Slide173_MAP2-594_FG_40x-no-averaging-1.tif,6.01,FG,1,a_0-1mo,1mo_173
soma-removed_MAX_A15-16_Slide18_MAP2-488_Calc-1.tif,2.02,Calc,1,a_0-1mo,1mo_18
soma-removed_MAX_Calcarine_36gw6wo_A15-16_A-LH-M_Slide222_MAP2-488_0.0902um-pxl-1.tif,4.454,Calc,1,a_0-1mo,1mo_222
soma-removed_MAX_Calcarine_36gw6wo_A15-16_P-RH-V_Slide163_MAP2-594_0.0902um-pxl-1.tif,14.844,Calc,1,a_0-1mo,1mo_163
soma-removed_MAX_CoS_36gw6wo_A15-16_A-LH-M_Slide87_MAP2-488_0.0902um-pxl-1.tif,1.581,CoS,1,a_0-1mo,1mo_87
soma-removed_MAX_CoS_36gw6wo_A15-16_P-RH-V_Slide163_MAP2-594_0.0902um-pxl-1.tif,0.704,CoS,1,a_0-1mo,1mo_163
soma-removed_Result of MAX_A15-16_1mo_Slide102_MAP2-594_FG_40x-no-averaging.czi - A15-16_1mo_Slide102_MAP2-594_FG_40x-no-averaging.czi #1-1-1.tif,5.58,FG,1,a_0-1mo,1mo_102
