ImageID,MBP_coverage,Slide_number,Layer,Age,Age_group,,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,0.008,101,4a,4,2_4-6mo,,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,1.515,101,4b,4,2_4-6mo,,,
crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc-1.tif,5.695,101,4c,4,2_4-6mo,,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-fundus-1.tif,0.002,107,4a,1,1_0-1.5mo,,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-fundus-1.tif,0.004,107,4b,1,1_0-1.5mo,,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-fundus-1.tif,0.003,107,4c,1,1_0-1.5mo,,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-fundus.tif,0,107,4a,1,1_0-1.5mo,,,
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-fundus.tif,0,107,4b,1,1_0-1.5mo,, , 
crop_MAX_A15-16_0.44months_Slide107_DAPI-405_Olig2-488_MBP-594_Fe-647_Calc-fundus.tif,0,107,4c,1,1_0-1.5mo,,,
crop_MAX_A15-16_0.44mo_Slide178_DAPI-405_Iba1-488_MBP-594_Fe-647_Calc-1.tif,0,178,4a,0,1_0-1.5mo,,,
crop_MAX_A15-16_0.44mo_Slide178_DAPI-405_Iba1-488_MBP-594_Fe-647_Calc-1.tif,0,178,4b,0,1_0-1.5mo,,,
