Age,Region,Layer,Slide_number,Average_angle,,,,
4,Calc,b_middle,107,37.65048598,,,,
4,Calc,c_deep,213,39.58638028,,,,
4,Cos,c_deep,162,30.11638272,,,,
4,Fus,c_deep,150,64.60540667,,,,
5,Calc,a_superficial,32,31.6743125,,,,
5,Calc,b_middle,187,29.02045455,,,,
5,Calc,c_deep,136,28.36838235,,,,
5,Cos,a_superficial,86,27.67384884,,, , 
5,Cos,c_deep,114,25.06171053,,,,
5,Fus,a_superficial,28,21.06417857,,,,
5,Fus,c_deep,342,60.12261988,,,,
6,Calc,a_superficial,39,46.98715385,,,,
6,Calc,b_middle,648,49.81281636,,,,
6,Calc,c_deep,680,47.45246912,,,,
6,Cos,a_superficial,38,32.67147368,,,,
6,Cos,c_deep,340,32.92777353,,,,
6,Fus,a_superficial,49,24.60030612,,,,
6,Fus,c_deep,1069,63.91641534,,,,
24,Calc,a_superficial,17,38.40741177,,,,
24,Calc,b_middle,492,34.98674187,,,,
24,Calc,c_deep,362,34.15237017,,,,
24,Cos,a_superficial,36,24.9715,,,,
24,Cos,c_deep,244,37.81053689,,,,
24,Fus,a_superficial,17,40.22811765,,,,
24,Fus,c_deep,1355,53.87429078,,,,
108,Cos,a_superficial,1888,36.94294333,,,,
108,Cos,b_middle,406,38.68399507,,,,
108,Cos,c_deep,404,34.77353713,,,,
108,Fus,a_superficial,972,36.95626029,,,,
108,Fus,b_middle,727,47.34809216,,,,
108,Fus,c_deep,1436,54.02823955,,,,
180,Calc,a_superficial,354,45.7019774,,,,
180,Calc,b_middle,484,50.9212562,,,,
180,Calc,c_deep,125,44.140224,,,,
180,Cos,a_superficial,1209,42.68847395,,,,
180,Cos,b_middle,100,38.28381,,,,
180,Cos,c_deep,106,27.24771698,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,, ,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,, ,
