Image_ID,Age,Measure,Coverage_percent,Layer,Cortex_v_WM
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 15)-1-1.tif,9 yrs,MBP,15.542,WM,WM
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 14)-1-1.tif,9 yrs,MBP,10.753,WM,WM
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 13)-1-1.tif,9 yrs,MBP,16.856,WM,WM
9Y-197-WM-9-Calc-1-1.tif,9 yrs,CARS,25.275,WM,WM
9Y-197-WM-8-Calc-1-1.tif,9 yrs,CARS,22.14,WM,WM
9Y-197-WM-7-Calc-1-1.tif,9 yrs,CARS,22.604,WM,WM
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 (series 3)-1-1.tif,6mo,MBP,23.452,WM,WM
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 (series 2)-1-1.tif,6mo,MBP,18.689,WM,WM
A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 - A21-3m-38-DAPI-MOG-MBP-100X-Stacks-CalcWM.nd2 (series 1)-1-1.tif,6mo,MBP,22.333,WM,WM
3m-38-WM-3-Calc-1-1.tif,6mo,CARS,24.371,WM,WM
3m-38-WM-2-Calc-1-1.tif,6mo,CARS,16.156,WM,WM
3m-38-WM-1-Calc-1-1.tif,6mo,CARS,23.517,WM,WM
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 12)-1-1.tif,9 yrs,MBP,16.113,L6,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 11)-1-1.tif,9 yrs,MBP,20.448,L6,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 10)-1-1.tif,9 yrs,MBP,17.171,L6,Cortex
9Y-197-L6-9-Calc-1-1.tif,9 yrs,CARS,11.198,L6,Cortex
9Y-197-L6-8-Calc-1-1.tif,9 yrs,CARS,17.769,L6,Cortex
9Y-197-L6-7-Calc-1-1.tif,9 yrs,CARS,12.485,L6,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 09)-1-1.tif,9 yrs,MBP,22.488,L4,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 08)-1-1.tif,9 yrs,MBP,25.629,L4,Cortex
A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 - A22-49-9Y-197-DAPI-MOG-MBP-100X-Stacks-Calc.nd2 (series 07)-1-1.tif,9 yrs,MBP,20.169,L4,Cortex
9Y-197-L4-9-Calc-1-1.tif,9 yrs,CARS,18.605,L4,Cortex
