image_id,myelin_sheaths_MBP,myelin_sheaths_CARS,Age
1w-183-L1-1Calc,0,0,1 mo
1w-183-L1-2Calc,0,0,1 mo
1w-183-L1-3Calc,0,0,1 mo
1w-183-L2-1Calc,0,1,1 mo
1w-183-L2-2Calc,0,0,1 mo
1w-183-L3-3Calc,0,0,1 mo
1w-183-L4-1Calc,0,0,1 mo
1w-183-L4-2Calc,0,0,1 mo
1w-183-L4-3Calc,0,0,1 mo
1w-183-L6-1Calc,0,0,1 mo
1w-183-L6-2Calc,0,0,1 mo
1w-183-L6-3Calc,0,0,1 mo
1w-183-WM-1Calc,0,0,1 mo
1w-183-WM-2Calc,7,5,1 mo
1w-183-WM-3Calc,0,0,1 mo
3m-38-L1-1-Calc,0,1,6 mo
3m-38-L1-2-Calc,1,1,6 mo
3m-38-L1-3-Calc,1,1,6 mo
3m-38-L2-1-Calc,0,1,6 mo
3m-38-L2-2-Calc,0,0,6 mo
3m-38-L2-3-Calc,0,0,6 mo
3m-38-L4-1-Calc,2,1,6 mo
3m-38-L4-2-Calc,8,4,6 mo
3m-38-L4-3-Calc,4,3,6 mo
3m-38-L6-1-Calc,26,18,6 mo
3m-38-L6-2-Calc,21,14,6 mo
3m-38-L6-3-Calc,24,19,6 mo
