Slide_number,BCAS1_density_mm2,Region,SampleID,Age_group,Age,morphology,,,
0mo_284,0,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:4,a_0-1.5 mo,0,ensheathing,,,
0mo_284,5.053351372,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:cortex:4,a_0-1.5 mo,0,stellate,,,
0mo_284,0,CoS,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,a_0-1.5 mo,0,ensheathing,,,
0mo_284,0,CoS,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,a_0-1.5 mo,0,stellate,,,
0mo_284,0,FG,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Fus.tif:cortex:4,a_0-1.5 mo,0,ensheathing,,,
0mo_284,0,FG,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Fus.tif:cortex:4,a_0-1.5 mo,0,stellate,,,
1mo_106,0,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:cortex:4,a_0-1.5 mo,1,ensheathing,,,
1mo_106,13.2731134,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:cortex:4,a_0-1.5 mo,1,stellate,,,
1mo_106,0,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:cortex:1,a_0-1.5 mo,1,ensheathing,,, 
1mo_106,6.922118617,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:cortex:1,a_0-1.5 mo,1,stellate,,,
1mo_170,0,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:cortex:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,ensheathing,,,
1mo_170,2.773639465,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:cortex:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,stellate,,,
1mo_172,0,Calc,crop_MAX_A20-21_36gw6wo_Slide172_DAPI-405_CC1-488_Olig2-594_BCAS1-647_Calc-002.tif:cortex:4,a_0-1.5 mo,1,ensheathing,,,
1mo_172,6.93531331,Calc,crop_MAX_A20-21_36gw6wo_Slide172_DAPI-405_CC1-488_Olig2-594_BCAS1-647_Calc-002.tif:cortex:4,a_0-1.5 mo,1,stellate,,,
1mo_172,0,CoS,crop_MAX_A20-21_36gw6wo_Slide172_DAPI-405_CC1-488_Olig2-594_BCAS1-647_Cos-002.tif:cortex:4,a_0-1.5 mo,1,ensheathing,,,
1mo_172,7.513256086,CoS,crop_MAX_A20-21_36gw6wo_Slide172_DAPI-405_CC1-488_Olig2-594_BCAS1-647_Cos-002.tif:cortex:4,a_0-1.5 mo,1,stellate,,,
1mo_172,0,FG,crop_MAX_A20-21_36gw6wo_Slide172_DAPI-405_CC1-488_Olig2-594_BCAS1-647_Fus-003.tif:cortex:4,a_0-1.5 mo,1,ensheathing,,,
1mo_172,2.044359052,FG,crop_MAX_A20-21_36gw6wo_Slide172_DAPI-405_CC1-488_Olig2-594_BCAS1-647_Fus-003.tif:cortex:4,a_0-1.5 mo,1,stellate,,,
1.5mo_150,0,Calc,crop_MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Calc.tif:cortex:3,a_0-1.5 mo,1.5,ensheathing,,,
1.5mo_150,7.859594238,Calc,crop_MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Calc.tif:3,a_0-1.5 mo,1.5,stellate,,,
1.5mo_150,0,FG,MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Fus.tif:cortex:1,a_0-1.5 mo,1.5,ensheathing,,,
1.5mo_150,2.619876562,FG,MAX_09277024_1.5mo_LH_Slide150_DAPI_MBP-594_BCAS1-647_Fus.tif:cortex:1,a_0-1.5 mo,1.5,stellate,,,
1.5mo_191,0,Calc,crop_MAX_09277024_1.5mo_LH_Slide191_DAPI_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,1.5,ensheathing,,,
1.5mo_191,7.701740191,Calc,crop_MAX_09277024_1.5mo_LH_Slide191_DAPI_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,1.5,stellate,,,
1.5mo_191,0,FG,MAX_09277024_1.5mo_LH_Slide191_DAPI_MBP-594_BCAS1-647_MFS.tif:3,a_0-1.5 mo,1.5,ensheathing,,,
1.5mo_191,2.379800289,FG,MAX_09277024_1.5mo_LH_Slide191_DAPI_MBP-594_BCAS1-647_MFS.tif:3,a_0-1.5 mo,1.5,stellate,,,
1.5mo_257,0,CoS,crop_MAX_09277024_1.5mo_LH_Slide257_DAPI_MBP-594_BCAS1-647_CoS.tif:3,a_0-1.5 mo,1.5,ensheathing,,,
1.5mo_257,1.829457744,CoS,crop_MAX_09277024_1.5mo_LH_Slide257_DAPI_MBP-594_BCAS1-647_CoS.tif:3,a_0-1.5 mo,1.5,stellate,,,
1.5mo_300,0,Calc,crop_MAX_09277024_1.5mo_LH_Slide300_DAPI_MBP-594_BCAS1-647_Calc-1.tif:1,a_0-1.5 mo,1.5,ensheathing,,,
1.5mo_300,4.611445249,Calc,crop_MAX_09277024_1.5mo_LH_Slide300_DAPI_MBP-594_BCAS1-647_Calc-1.tif:1,a_0-1.5 mo,1.5,stellate,,,
4mo_101,12.95781972,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,ensheathing,,,
4mo_101,11.10670261,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,stellate,,,
4mo_101,6.268262871,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
4mo_101,12.53652574,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:cortex:1,b_4-6 mo,4,stellate,,,
4mo_101,3.273858263,FG,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Fus.tif:cortex:1,b_4-6 mo,4,ensheathing,,,
