Slide_number,BCAS1_density_mm2,Region,SampleID,Age_group,Age,Layer,morphology
0mo_284,23.18114228,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,0,deep,stellate
0mo_284,0,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,0,deep,ensheathing
0mo_284,0,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,0,middle,stellate
0mo_284,0,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,0,middle,ensheathing
0mo_284,0,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,0,superficial,stellate
0mo_284,0,Calc,MAX_A15-76_39gw_Slide284_DAPI-405_PV-488_MBP-594_BCAS1-647_Calc.tif:1,a_0-1.5 mo,0,superficial,ensheathing
0mo_284,0,CoS,,a_0-1.5 mo,0,deep,stellate
0mo_284,0,CoS,,a_0-1.5 mo,0,deep,ensheathing
0mo_284,0,CoS,,a_0-1.5 mo,0,middle,stellate
0mo_284,0,CoS,,a_0-1.5 mo,0,middle,ensheathing
0mo_284,0,CoS,,a_0-1.5 mo,0,superficial,stellate
0mo_284,0,CoS,,a_0-1.5 mo,0,superficial,ensheathing
0mo_284,0,FG,,a_0-1.5 mo,0,deep,stellate
0mo_284,0,FG,,a_0-1.5 mo,0,deep,ensheathing
0mo_284,0,FG,,a_0-1.5 mo,0,middle,stellate
0mo_284,0,FG,,a_0-1.5 mo,0,middle,ensheathing
0mo_284,0,FG,,a_0-1.5 mo,0,superficial,stellate
0mo_284,0,FG,,a_0-1.5 mo,0,superficial,ensheathing
1mo_106,11.2617067,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:4,a_0-1.5 mo,1,deep,stellate
1mo_106,0,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:4,a_0-1.5 mo,1,deep,ensheathing
1mo_106,16.96651263,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:4,a_0-1.5 mo,1,middle,stellate
1mo_106,0,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:4,a_0-1.5 mo,1,middle,ensheathing
1mo_106,11.89688373,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:4,a_0-1.5 mo,1,superficial,stellate
1mo_106,0,Calc,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCalc.tif:4,a_0-1.5 mo,1,superficial,ensheathing
1mo_106,21.46074533,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:1,a_0-1.5 mo,1,deep,stellate
1mo_106,0,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:1,a_0-1.5 mo,1,deep,ensheathing
1mo_106,0,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:1,a_0-1.5 mo,1,middle,stellate
1mo_106,0,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:1,a_0-1.5 mo,1,middle,ensheathing
1mo_106,0,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:1,a_0-1.5 mo,1,superficial,stellate
1mo_106,0,CoS,crop_MAX_1w-A15-16-106-DAPI-IBA1-NFH-BCAS1-40X-StripCoS.tif:1,a_0-1.5 mo,1,superficial,ensheathing
1mo_170,11.09327639,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,deep,stellate
1mo_170,0,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,deep,ensheathing
1mo_170,0,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,middle,stellate
1mo_170,0,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,middle,ensheathing
1mo_170,1.665255112,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,superficial,stellate
1mo_170,0,CoS,crop_2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.tif:c:1/4 - 2W-A15-16-170-CoS-DAPI-PV-MBP-BCAS1-40X-Strip1.nd2 (,a_0-1.5 mo,1,superficial,ensheathing
4mo_101,0,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,deep,stellate
4mo_101,43.5624173,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,deep,ensheathing
4mo_101,22.63122888,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,middle,stellate
4mo_101,13.57873733,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,middle,ensheathing
4mo_101,4.462745569,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,superficial,stellate
4mo_101,0,Calc,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Calc.tif:1,b_4-6 mo,4,superficial,ensheathing
4mo_101,20.89784957,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,deep,stellate
4mo_101,20.89784957,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,deep,ensheathing
4mo_101,22.36225716,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,middle,stellate
4mo_101,0,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,middle,ensheathing
4mo_101,8.664805692,CoS,crop_MAX_A19-122_4months_Slide101_DAPI_MAP2-488_MBP-594_BCAS1-647_Cos.tif:1,b_4-6 mo,4,superficial,stellate
